"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","1992","1000000",""
"Albania","2011","0","2"
"Algeria","2016","0","2"
"Algeria","1980","6000000",""
"Algeria","1968","6000000",""
"Angola","2002","2000000",""
"Angola","1992","8000000",""
"Angola","1980","0","2"
"Angola","1979","3000000",""
"Arab World","1984","98000000",""
"Arab World","1981","217000000",""
"Arab World","1976","4000000",""
"Arab World","1972","2000000",""
"Arab World","1970","53000000",""
"Arab World","1969","21000000",""
"Arab World","1968","35000000",""
"Arab World","1967","12000000",""
"Arab World","1966","13000000",""
"Arab World","1964","2000000",""
"Arab World","1963","8000000",""
"Arab World","1962","9000000",""
"Arab World","1961","0",""
"Arab World","1960","3000000",""
"Argentina","2011","1000000",""
"Argentina","2006","2000000",""
"Argentina","2002","2000000",""
"Argentina","2001","6000000",""
"Argentina","2000","2000000",""
"Argentina","1995","5000000",""
"Argentina","1994","4000000",""
"Argentina","1993","11000000",""
"Argentina","1991","0","2"
"Argentina","1990","6000000",""
"Argentina","1988","1000000",""
"Argentina","1987","4000000",""
"Argentina","1983","1000000",""
"Argentina","1982","3000000",""
"Argentina","1981","24000000",""
"Argentina","1980","1000000",""
"Argentina","1979","8000000",""
"Argentina","1976","1000000",""
"Argentina","1972","11000000",""
"Argentina","1970","0","2"
"Argentina","1968","8000000",""
"Argentina","1967","0","2"
"Argentina","1964","4000000",""
"Argentina","1962","6000000",""
"Aruba","1996","18000000",""
"Australia","2017","97000000",""
"Australia","2016","134000000",""
"Australia","2015","87000000",""
"Australia","2014","97000000",""
"Australia","2013","54000000",""
"Australia","2012","45000000",""
"Australia","2011","143000000",""
"Australia","2010","115000000",""
"Australia","2009","80000000",""
"Australia","2008","25000000",""
"Australia","2007","18000000",""
"Australia","2006","14000000",""
"Australia","2005","49000000",""
"Australia","2004","2000000",""
"Australia","2003","44000000",""
"Australia","2002","47000000",""
"Australia","2001","43000000",""
"Australia","1998","4000000",""
"Australia","1997","20000000",""
"Australia","1996","16000000",""
"Australia","1995","36000000",""
"Australia","1994","36000000",""
"Australia","1993","30000000",""
"Australia","1991","85000000",""
"Australia","1990","158000000",""
"Australia","1989","18000000",""
"Australia","1988","18000000",""
"Australia","1987","89000000",""
"Australia","1986","57000000",""
"Australia","1985","13000000",""
"Australia","1984","62000000",""
"Australia","1983","31000000",""
"Australia","1982","24000000",""
"Australia","1981","15000000",""
"Australia","1980","15000000",""
"Australia","1979","22000000",""
"Australia","1978","21000000",""
"Australia","1977","62000000",""
"Australia","1976","113000000",""
"Australia","1975","131000000",""
"Australia","1974","92000000",""
"Australia","1973","72000000",""
"Australia","1972","6000000",""
"Australia","1971","36000000",""
"Australia","1970","17000000",""
"Australia","1969","26000000",""
"Australia","1962","2000000",""
"Australia","1961","2000000",""
"Austria","2017","22000000",""
"Austria","2016","15000000",""
"Austria","2015","10000000",""
"Austria","2014","15000000",""
"Austria","2013","29000000",""
"Austria","2012","24000000",""
"Austria","2011","51000000",""
"Austria","2010","48000000",""
"Austria","2009","42000000",""
"Austria","2008","15000000",""
"Austria","2007","100000000",""
"Austria","2006","63000000",""
"Austria","2005","4000000",""
"Austria","2004","3000000",""
"Austria","2003","3000000",""
"Austria","2002","83000000",""
"Austria","2001","17000000",""
"Austria","2000","24000000",""
"Austria","1999","23000000",""
"Austria","1998","29000000",""
"Austria","1997","1000000",""
"Austria","1996","18000000",""
"Austria","1994","17000000",""
"Austria","1993","10000000",""
"Austria","1992","20000000",""
"Austria","1991","20000000",""
"Austria","1990","30000000",""
"Austria","1989","12000000",""
"Austria","1988","12000000",""
"Austria","1987","30000000",""
"Austria","1986","40000000",""
"Austria","1985","348000000",""
"Austria","1984","58000000",""
"Austria","1983","56000000",""
"Austria","1982","60000000",""
"Austria","1981","70000000",""
"Austria","1980","54000000",""
"Austria","1979","126000000",""
"Austria","1978","37000000",""
"Austria","1975","0","2"
"Austria","1974","0","2"
"Austria","1973","1000000",""
"Austria","1972","1000000",""
"Austria","1971","1000000",""
"Austria","1970","1000000",""
"Austria","1969","1000000",""
"Austria","1968","1000000",""
"Austria","1967","1000000",""
"Austria","1966","1000000",""
"Austria","1965","0","2"
"Austria","1964","0","2"
"Bahrain","2001","2000000",""
"Bangladesh","1984","2000000",""
"Belarus","2017","23000000",""
"Belarus","2016","152000000",""
"Belarus","2015","142000000",""
"Belarus","2014","68000000",""
"Belarus","2013","268000000",""
"Belarus","2012","65000000",""
"Belarus","2011","96000000",""
"Belarus","2010","159000000",""
"Belarus","2009","41000000",""
"Belarus","2008","224000000",""
"Belarus","2007","6000000",""
"Belarus","2006","43000000",""
"Belarus","2005","53000000",""
"Belarus","2004","19000000",""
"Belarus","2003","57000000",""
"Belarus","2002","63000000",""
"Belarus","2001","49000000",""
"Belarus","2000","293000000",""
"Belarus","1999","452000000",""
"Belarus","1998","63000000",""
"Belarus","1997","341000000",""
"Belarus","1996","129000000",""
"Belarus","1995","7000000",""
"Belarus","1993","8000000",""
"Belgium","2017","12000000",""
"Belgium","2016","7000000",""
"Belgium","2015","12000000",""
"Belgium","2014","10000000",""
"Belgium","2013","55000000",""
"Belgium","2012","22000000",""
"Belgium","2011","111000000",""
"Belgium","2010","9000000",""
"Belgium","2009","243000000",""
"Belgium","2008","217000000",""
"Belgium","2007","19000000",""
"Belgium","2006","59000000",""
"Belgium","2005","159000000",""
"Belgium","2004","47000000",""
"Belgium","2003","15000000",""
"Belgium","2002","35000000",""
"Belgium","2001","37000000",""
"Belgium","2000","26000000",""
"Belgium","1999","45000000",""
"Belgium","1998","46000000",""
"Belgium","1997","93000000",""
"Belgium","1996","59000000",""
"Belgium","1995","167000000",""
"Belgium","1994","33000000",""
"Belgium","1991","1000000",""
"Belgium","1990","1000000",""
"Belgium","1989","36000000",""
"Belgium","1988","18000000",""
"Belgium","1986","19000000",""
"Belgium","1985","3000000",""
"Belgium","1984","115000000",""
"Belgium","1983","89000000",""
"Belgium","1982","41000000",""
"Belgium","1981","19000000",""
"Belgium","1980","1000000",""
"Belgium","1979","3000000",""
