"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2017","250000000",""
"Afghanistan","2016","176000000",""
"Afghanistan","2015","116000000",""
"Afghanistan","2014","288000000",""
"Afghanistan","2013","235000000",""
"Afghanistan","2012","521000000",""
"Afghanistan","2011","660000000",""
"Afghanistan","2010","377000000",""
"Afghanistan","2009","344000000",""
"Afghanistan","2008","150000000",""
"Afghanistan","2007","41000000",""
"Afghanistan","2006","3000000",""
"Afghanistan","2005","35000000",""
"Afghanistan","2002","34000000",""
"Afghanistan","1991","1438000000",""
"Afghanistan","1990","1900000000",""
"Afghanistan","1989","2176000000",""
"Afghanistan","1988","1065000000",""
"Afghanistan","1987","575000000",""
"Afghanistan","1986","299000000",""
"Afghanistan","1985","165000000",""
"Afghanistan","1984","380000000",""
"Afghanistan","1983","239000000",""
"Afghanistan","1982","298000000",""
"Afghanistan","1981","385000000",""
"Afghanistan","1980","355000000",""
"Afghanistan","1979","363000000",""
"Afghanistan","1978","283000000",""
"Afghanistan","1977","75000000",""
"Afghanistan","1976","230000000",""
"Afghanistan","1975","90000000",""
"Afghanistan","1972","124000000",""
"Afghanistan","1971","149000000",""
"Afghanistan","1970","9000000",""
"Afghanistan","1969","92000000",""
"Afghanistan","1968","145000000",""
"Afghanistan","1967","230000000",""
"Afghanistan","1966","198000000",""
"Afghanistan","1965","91000000",""
"Afghanistan","1964","56000000",""
"Afghanistan","1963","40000000",""
"Afghanistan","1962","64000000",""
"Afghanistan","1961","56000000",""
"Afghanistan","1960","40000000",""
"Albania","2017","0","2"
"Albania","2015","7000000",""
"Albania","2014","7000000",""
"Albania","2013","7000000",""
"Albania","2012","15000000",""
"Albania","2007","5000000",""
"Albania","2005","7000000",""
"Albania","2003","2000000",""
"Albania","1995","26000000",""
"Albania","1978","5000000",""
"Albania","1977","7000000",""
"Albania","1976","5000000",""
"Albania","1975","53000000",""
"Albania","1974","134000000",""
"Albania","1973","104000000",""
"Albania","1972","134000000",""
"Albania","1971","330000000",""
"Albania","1970","250000000",""
"Albania","1969","297000000",""
"Albania","1968","265000000",""
"Albania","1967","161000000",""
"Albania","1966","74000000",""
"Albania","1965","177000000",""
"Albania","1964","7000000",""
"Albania","1963","11000000",""
"Albania","1962","46000000",""
"Albania","1961","74000000",""
"Albania","1960","62000000",""
"Algeria","2017","905000000",""
"Algeria","2016","2887000000",""
"Algeria","2015","883000000",""
"Algeria","2014","438000000",""
"Algeria","2013","302000000",""
"Algeria","2012","807000000",""
"Algeria","2011","1126000000",""
"Algeria","2010","834000000",""
"Algeria","2009","1075000000",""
"Algeria","2008","1529000000",""
"Algeria","2007","509000000",""
"Algeria","2006","340000000",""
"Algeria","2005","159000000",""
"Algeria","2004","242000000",""
"Algeria","2003","195000000",""
"Algeria","2002","249000000",""
"Algeria","2001","542000000",""
"Algeria","2000","408000000",""
"Algeria","1999","370000000",""
"Algeria","1998","98000000",""
"Algeria","1997","37000000",""
"Algeria","1996","83000000",""
"Algeria","1995","295000000",""
"Algeria","1994","182000000",""
"Algeria","1993","20000000",""
"Algeria","1992","20000000",""
"Algeria","1991","1035000000",""
"Algeria","1990","735000000",""
"Algeria","1989","455000000",""
"Algeria","1988","320000000",""
"Algeria","1987","370000000",""
"Algeria","1986","135000000",""
"Algeria","1985","242000000",""
"Algeria","1984","533000000",""
"Algeria","1983","575000000",""
"Algeria","1982","1231000000",""
"Algeria","1981","1280000000",""
"Algeria","1980","1358000000",""
"Algeria","1979","1898000000",""
"Algeria","1978","1512000000",""
"Algeria","1977","1077000000",""
"Algeria","1976","132000000",""
"Algeria","1975","56000000",""
"Algeria","1974","13000000",""
"Algeria","1973","110000000",""
"Algeria","1972","180000000",""
"Algeria","1971","14000000",""
"Algeria","1970","14000000",""
"Algeria","1969","79000000",""
"Algeria","1968","57000000",""
"Algeria","1967","524000000",""
"Algeria","1966","452000000",""
"Algeria","1965","323000000",""
"Algeria","1964","154000000",""
"Algeria","1963","85000000",""
"Algeria","1962","61000000",""
"Algeria","1961","7000000",""
"Angola","2017","204000000",""
"Angola","2016","124000000",""
"Angola","2015","47000000",""
"Angola","2014","2000000",""
"Angola","2013","31000000",""
"Angola","2009","20000000",""
"Angola","2008","29000000",""
"Angola","2007","31000000",""
"Angola","2006","7000000",""
"Angola","2005","39000000",""
"Angola","2004","8000000",""
"Angola","2003","48000000",""
"Angola","2002","148000000",""
"Angola","2001","156000000",""
"Angola","2000","147000000",""
"Angola","1999","358000000",""
"Angola","1998","149000000",""
"Angola","1997","7000000",""
"Angola","1996","44000000",""
"Angola","1995","1000000",""
"Angola","1994","111000000",""
"Angola","1993","122000000",""
"Angola","1990","140000000",""
"Angola","1989","152000000",""
"Angola","1988","965000000",""
"Angola","1987","1186000000",""
"Angola","1986","705000000",""
"Angola","1985","493000000",""
"Angola","1984","430000000",""
"Angola","1983","538000000",""
"Angola","1982","379000000",""
"Angola","1981","241000000",""
"Angola","1980","155000000",""
"Angola","1979","111000000",""
"Angola","1978","146000000",""
"Angola","1977","105000000",""
"Angola","1976","184000000",""
"Angola","1975","242000000",""
"Angola","1974","1000000",""
"Arab World","2017","11535000000",""
"Arab World","2016","12909000000",""
"Arab World","2015","9861000000",""
"Arab World","2014","7337000000",""
"Arab World","2013","6738000000",""
"Arab World","2012","5869000000",""
"Arab World","2011","7310000000",""
"Arab World","2010","5138000000",""
"Arab World","2009","4053000000",""
"Arab World","2008","4161000000",""
"Arab World","2007","3316000000",""
"Arab World","2006","4271000000",""
"Arab World","2005","4523000000",""
