Country,Year,Total Literate
Albania,2001,5388246
Albania,2011,4774818
Algeria,1998,34574646
Algeria,2008,43025412.67
Argentina,2001,57345216
Argentina,2010,65517208
Armenia,2001,5486344
Armenia,2011,5242416
Aruba,2000,136595.2
Aruba,2010,78973
Azerbaijan,1999,12513836
Azerbaijan,2009,15008448
Bahrain,2001,549730
Bahrain,2010,1866118
Bangladesh,2001,91278846
Belarus,1999,16092562
Belarus,2009,16633584
Belize,2000,218364
Benin,2002,3257536
Bhutan,2005,581032
Bolivia (Plurinational State of),2001,10803996
Bolivia (Plurinational State of),2012,15057202
Brazil,2000,238656706
Brazil,2010,294771162
British Virgin Islands,2010,21114
British Virgin Islands,2001,493674
British Virgin Islands,2011,635512
Bulgaria,2001,14138034
Bulgaria,2011,13187662
Burkina Faso,1996,9263274
Burkina Faso,2006,4830000
Burundi,2008,5258792
Côte d'Ivoire,2014,15013118
Cambodia,1998,11020254
Cambodia,2008,13782070
Chile,2002,24232308
China,2000,1742185126
China,2010,2114594768
"China, Macao SAR",2001,622660
"China, Macao SAR",2011,930832
"China, Macao SAR",2016,1106306
Colombia,2005,92900870
Costa Rica,2000,5755198
Costa Rica,2011,7068416
Croatia,2001,7742246
Croatia,2011,7671122
Cuba,2002,19443642
Cyprus,2001,1042668
Cyprus,2011,1366428
Democratic People's Republic of Korea,2008,40990162
Dominican Republic,2002,11693028
Dominican Republic,2010,13381454
Ecuador,2001,17308038
Ecuador,2010,21611408
Egypt,2006,34047034
El Salvador,2007,7569550
Estonia,2000,2396286
Estonia,2011,2270436
Ethiopia,2007,43527866
Fiji,1996,1112910
Georgia,2002,7530990
Georgia,2014,6341620
Ghana,2000,6010428
Ghana,2010,25785574
Greece,2001,18976282
Greece,2011,18487880
Guatemala,2002,11497384
Guinea,2014,1862117
Guinea-Bissau,2009,581986
Honduras,2001,7072114
Honduras,2013,11119923.18
Hungary,2001,18129516
India,2001,1013580220
Indonesia,2005,315443596
Indonesia,2010,353012192
Iran (Islamic Republic of),1996,70441680
Iran (Islamic Republic of),2006,100065608
Iran (Islamic Republic of),2011,106565352
Iran (Islamic Republic of),2016,115602460
Italy,2001,101843842
Italy,2011,0
Kazakhstan,1999,24486656
Kiribati,2010,151110
Kuwait,1995,1999902
Kuwait,2005,4556762
Kuwait,2011,4708846
Kyrgyzstan,1999,7262696
Kyrgyzstan,2009,8518496
Lao People's Democratic Republic,1995,3074258
Lao People's Democratic Republic,2005,4950592
Latvia,2000,4255962
Latvia,2011,3727860
Lesotho,2006,1628134
Liberia,2008,2726560
Libya,2006,0
