Country or Area,Year,Total Men and Women Employed
Albania,1994,1161
Albania,1995,1138
Albania,1996,1116
Albania,1997,1107
Albania,1998,1085
Albania,1999,1065
Albania,2000,1068
Albania,2001,1063
Albania,2002,920
Albania,2003,926
Albania,2004,931
Albania,2005,932.1
Albania,2006,935
Algeria,1993,4273
Algeria,1994,4325
Algeria,1995,4505
Algeria,2001,6228.772
Algeria,2003,6684.056
Algeria,2004,7798.4
American Samoa,1990,13.461
Angola,1992,497.206
Anguilla,1992,4.121
Anguilla,1999,6.18
Anguilla,2001,5.644
Antigua and Barbuda,1973,17.803
Antigua and Barbuda,1974,19.254
Antigua and Barbuda,1975,19.761
Antigua and Barbuda,1976,20.013
Antigua and Barbuda,2001,70.034
Antigua and Barbuda,2002,34.431
Antigua and Barbuda,2003,35.074
Antigua and Barbuda,2004,35.728
Antigua and Barbuda,2005,36.395
Antigua and Barbuda,2006,37.074
Antigua and Barbuda,2007,37.765
Antigua and Barbuda,2008,38.47
Argentina,1982,3740.609
Argentina,1983,3704.13
Argentina,1984,3897.001
Argentina,1990,4372.825
Argentina,1991,4373.197
Argentina,1992,4495.566
Argentina,1993,4609.059
Argentina,1994,4386.273
Argentina,1995,4157.217
Argentina,1996,7369.83
Argentina,1997,7858.448
Argentina,1998,8278.638
Argentina,1999,8285.166
Argentina,2000,8261.723
Argentina,2001,8143.391
Argentina,2002,8016.067
Argentina,2003,8956.213
Argentina,2004,9414.96
Argentina,2005,9638.714
Argentina,2006,10040.505
Armenia,2002,1106.4
Armenia,2003,1107.6
Armenia,2004,1081.7
Armenia,2005,1097.8
Armenia,2006,1092.4
Armenia,2007,1188.5
Aruba,1994,35.94
Aruba,1997,41.501
Aruba,2000,41.918
Aruba,2007,51.607
Australia,1969,5183
Australia,1970,5395.6
Australia,1971,5515.7
Australia,1972,5609.9
Australia,1973,5783
Australia,1974,5855.2
Australia,1975,5841.3
Australia,1976,5897.8
Australia,1977,5995.4
Australia,1978,6005.4
Australia,1979,6078.5
Australia,1980,6284.3
Australia,1981,6416.5
Australia,1982,6414.9
Australia,1983,6300.4
Australia,1984,6493.9
Australia,1985,6697.5
Australia,1986,6974.5
Australia,1987,7128.8
Australia,1988,14580
Australia,1989,15436.1
Australia,1990,15695.5
Australia,1991,15343.5
Australia,1992,15249.1
Australia,1993,15324.4
Australia,1994,15825
Australia,1995,8218.2
Australia,1996,15960.519
Australia,1997,8391.3
Australia,1998,8572.3
Australia,1999,8720.2
Australia,2000,8951.3
Australia,2001,9081.394
Australia,2002,9245.777
Australia,2003,9464.923
Australia,2004,9623.283
Australia,2005,9968.577
Australia,2006,10218.345
Australia,2007,10512.346
Australia,2008,10740.499
Austria,1983,3158.4
Austria,1984,3235.3
Austria,1985,3234.5
Austria,1986,3282.3
Austria,1987,3299.8
Austria,1988,3310.6
Austria,1989,3346.4
Austria,1990,3421.1
Austria,1991,3481.7
Austria,1992,3546.7
Austria,1993,3575.5
Austria,1994,7484
Austria,1995,3758.8
Austria,1996,3709.8
Austria,1997,3719.4
Austria,1998,3723.3
Austria,1999,3762.3
Austria,2000,3776.5
Austria,2001,3799.6
Austria,2002,3835.7
Austria,2003,3798.4
Austria,2004,3744
Austria,2005,3824.4
Austria,2006,3928.3
Austria,2007,4027.9
Austria,2008,4089.986
Azerbaijan,1983,2503.1
Azerbaijan,1984,2559.4
Azerbaijan,1985,2619.2
Azerbaijan,1986,2671.1
Azerbaijan,1987,2749.5
Azerbaijan,1988,2761.3
Azerbaijan,1989,2880
Azerbaijan,1990,3703.4
Azerbaijan,1991,3732
Azerbaijan,1992,3722
Azerbaijan,1993,3714.6
Azerbaijan,1994,3631.3
Azerbaijan,1995,3613
Azerbaijan,1996,3686.7
Azerbaijan,1997,3694.1
Azerbaijan,1998,7403
Azerbaijan,1999,3702.8
Azerbaijan,2000,3704.5
Azerbaijan,2001,3715
Azerbaijan,2002,3726.5
Azerbaijan,2003,7124.8
Azerbaijan,2004,3809.1
Azerbaijan,2005,3850.2
Azerbaijan,2006,7958.9
Azerbaijan,2007,8028.1
Azerbaijan,2008,8112
Bahamas,1973,71.66
Bahamas,1975,66.418
Bahamas,1977,73.658
Bahamas,1979,67.721
Bahamas,1986,97.4
Bahamas,1989,112.49
Bahamas,1991,114.275
Bahamas,1992,114.7
Bahamas,1993,118.95
Bahamas,1994,120.3
Bahamas,1995,127.44
Bahamas,1996,129.765
Bahamas,1997,135.255
Bahamas,1998,144.355
Bahamas,1999,145.35
Bahamas,2001,153.31
Bahamas,2002,152.69
Bahamas,2003,154.965
Bahamas,2004,158.34
Bahamas,2005,160.53
Bahamas,2006,165.505
Bahamas,2007,171.49
Bahrain,1979,130.5
Bahrain,1981,139
Bahrain,1982,141.1
Bahrain,2001,291.378
Bangladesh,1984,27976
Bangladesh,1985,28977
Bangladesh,1986,30563
Bangladesh,1989,50148
Bangladesh,1991,50159
Bangladesh,1996,54597
Bangladesh,2000,51764
Bangladesh,2003,44322
Bangladesh,2005,47357
Barbados,1976,87.7
Barbados,1977,87.2
Barbados,1978,87.45
Barbados,1981,100.2
Barbados,1982,97.3
Barbados,1983,95.7
Barbados,1984,93.1
Barbados,1985,92.1
Barbados,1986,96.2
Barbados,1987,97.9
Barbados,1988,100.3
Barbados,1989,107.4
Barbados,1990,105.2
Barbados,1991,101.4
Barbados,1992,96.1
Barbados,1993,95.4
Barbados,1994,105.5
Barbados,1995,109.9
Barbados,1996,115.8
Barbados,1997,117.7
Barbados,1998,121.7
Barbados,1999,125.2
Barbados,2000,129
Barbados,2001,130.9
Barbados,2002,128.6
Barbados,2003,129.5
Barbados,2004,132
Belarus,1987,5144
Belarus,1988,5173.5
Belarus,1989,5200.1
Belarus,1990,5150.8
Belarus,1991,5022.5
Belarus,1992,4891.4
Belarus,1993,4827.7
Belarus,1994,4700.9
Belarus,1995,4409.6
Belarus,1996,4364.8
Belarus,1997,4369.9
Belarus,1998,4416.6
Belarus,1999,4442
Belarus,2000,4441
Belarus,2001,4417.4
Belarus,2002,4380.8
Belgium,1970,3641.2
Belgium,1971,3664.5
Belgium,1972,3656.8
Belgium,1973,3688
Belgium,1974,3747.2
Belgium,1975,3694.6
Belgium,1976,3677.6
Belgium,1977,3663.5
Belgium,1978,3670.2
Belgium,1979,3705.4
Belgium,1980,3700.2
Belgium,1981,3631.2
Belgium,1982,3583
Belgium,1983,3546.1
Belgium,1984,3540.5
Belgium,1985,3560.8
Belgium,1986,3583.8
Belgium,1987,3600.1
Belgium,1988,7148.7
Belgium,1989,7306.7
Belgium,1990,7400.8
Belgium,1991,11269.9
Belgium,1992,11278.7
Belgium,1994,7442.758
Belgium,1995,7507.2
Belgium,1996,7524.68
Belgium,1997,7593.97
Belgium,1998,7656.67
Belgium,1999,7854.38
Belgium,2000,4092.17
Belgium,2001,4051.198
Belgium,2002,4069.833
Belgium,2003,4070.422
Belgium,2004,4139.2
Belgium,2005,4235.3
Belgium,2006,4262.8
Belgium,2007,4380.278
Belgium,2008,4445.897
Belize,1993,124.17
Belize,1994,124.86
Belize,1995,125.14
Belize,1996,130.05
Belize,1997,141.36
Belize,1998,146.69
Belize,1999,155.51
Belize,2005,98.589
Bermuda,2000,36.878
Bhutan,2005,249.03
Bolivia,1976,1547.16
Bolivia,1977,1589.12
Bolivia,1978,1628.94
Bolivia,1979,1676.97
Bolivia,1980,1719.59
Bolivia,1981,1684.54
Bolivia,1982,1707.95
Bolivia,1983,1678.57
Bolivia,1984,1705.49
Bolivia,1985,1685.8
Bolivia,1986,1661.43
Bolivia,1987,1670.34
Bolivia,1988,1769.37
Bolivia,1989,3367.516
Bolivia,1990,3622.487
Bolivia,1991,1875.687
Bolivia,1992,2064.14
Bolivia,1993,1090.97
Bolivia,1994,1195.37
Bolivia,1995,1256.6
Bolivia,1996,1848.53
Bolivia,1997,1877.53
