"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","0",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2014","Kilowatts,  thousand","16",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2013","Kilowatts,  thousand","14.1",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2012","Kilowatts,  thousand","14.8",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2011","Kilowatts,  thousand","14.4",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2010","Kilowatts,  thousand","13.9",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2009","Kilowatts,  thousand","13.5",""
"Albania","Electricity - net installed capacity of electric power plants public solar","2008","Kilowatts,  thousand","12.3",""
"Algeria","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","44.1","1"
"American Samoa","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","3",""
"American Samoa","Electricity - net installed capacity of electric power plants public solar","2014","Kilowatts,  thousand","1",""
"American Samoa","Electricity - net installed capacity of electric power plants public solar","2013","Kilowatts,  thousand","1","1"
"American Samoa","Electricity - net installed capacity of electric power plants public solar","2012","Kilowatts,  thousand","1",""
"American Samoa","Electricity - net installed capacity of electric power plants public solar","2011","Kilowatts,  thousand","0",""
"American Samoa","Electricity - net installed capacity of electric power plants public solar","2010","Kilowatts,  thousand","0",""
"Argentina","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","9",""
"Argentina","Electricity - net installed capacity of electric power plants public solar","2014","Kilowatts,  thousand","8",""
"Argentina","Electricity - net installed capacity of electric power plants public solar","2013","Kilowatts,  thousand","8",""
"Argentina","Electricity - net installed capacity of electric power plants public solar","2012","Kilowatts,  thousand","11.2",""
"Argentina","Electricity - net installed capacity of electric power plants public solar","2011","Kilowatts,  thousand","5","1"
"Argentina","Electricity - net installed capacity of electric power plants public solar","2010","Kilowatts,  thousand","0.026",""
"Argentina","Electricity - net installed capacity of electric power plants public solar","2009","Kilowatts,  thousand","0.026",""
"Armenia","Electricity - net installed capacity of electric power plants public solar","2016","Kilowatts,  thousand","0",""
"Armenia","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","1",""
"Australia","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","157",""
"Australia","Electricity - net installed capacity of electric power plants public solar","2014","Kilowatts,  thousand","3",""
