"Country or Area","Year","Sex","Coverage","Source","SourceID","Type","Value","Value Footnotes"
"Afghanistan","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","363.8","1"
"Albania","2006","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","149.794","1,2"
"Albania","2005","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","153.25","1,2"
"Albania","2004","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","157.008","1,2"
"Albania","2003","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","163.03","1,2"
"Albania","2002","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","172.385","1,2"
"Albania","2001","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","180.513","1,2"
"Albania","2001","Total men and women","Total coverage","Population census","# 0","Unemployed","305.506","1,3"
"Albania","2000","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","215.085","1,2"
"Albania","1999","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","239.794","1,2"
"Albania","1998","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","235.037","1,2"
"Albania","1997","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","193.526","1,2"
"Albania","1996","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","158.155","1,2"
"Albania","1995","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","171.001","1,2"
"Albania","1994","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","261.85","1,2"
"Albania","1993","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","301.289","1,2"
"Albania","1992","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","394","1,2"
"Albania","1991","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","139.8","1,2"
"Albania","1990","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","150.7","1,2"
"Albania","1989","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","113.4","1,2"
"Albania","1988","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","105.8","1,2"
"Albania","1987","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","89.4","1,2"
"Albania","1986","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","92","1,2"
"Albania","1985","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","94","1,2"
"Albania","1984","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","77.5","1,2"
"Albania","1983","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","58.6","1,2"
"Albania","1982","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","45.9","1,2"
"Albania","1981","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","62.3","1,2"
"Albania","1980","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","67.1","1,2"
"Algeria","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1374.633","1"
"Algeria","2006","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1240.841","1"
